neighbourhood_cleansed,n_obs,coolness,centrality,quietness,fanciness,neighborhood_profile
BANDE NERE,192,5.7,6.2,7.1,6.0,"Residential west-side area with strong metro access, local bars, and mostly mid-density housing; generally calm at night with moderate retail quality."
BRERA,462,9.2,9.3,4.6,9.5,"Historic design-and-gallery quarter near the core; highly walkable and stylish, with premium boutiques and nightlife-driven evening activity."
BUENOS AIRES - VENEZIA,906,8.6,8.7,3.9,8.7,"Major shopping corridor and Liberty-era streets around Porta Venezia; central, youthful, and active late, with high-end and chain retail mix."
CENTRALE,562,6.8,8.4,3.5,6.6,"Station district with dense hotels, transit, and restaurants; very connected but busy and noisier at night, with mixed commercial quality."
CITTA' STUDI,215,7.1,7.0,5.9,6.1,"University-led neighborhood with student demand, cafes, and practical services; moderately central and usually quieter than nightlife hubs."
DE ANGELI - MONTE ROSA,191,6.3,7.4,6.8,7.4,"Affluent residential zone with quality food streets and stable demand; good metro links, polished retail, and calm side streets."
DERGANO,106,6.9,5.5,6.3,5.2,"Former working-class area with creative spillovers from nearby Bovisa; improving bar scene, lower centrality, and mostly residential nights."
DUOMO,708,8.2,10.0,2.8,9.6,"Absolute city center around cathedral and luxury retail; maximum centrality and prestige, but heavy tourism and nighttime street activity."
GARIBALDI REPUBBLICA,175,8.9,8.8,4.2,8.9,"Modern business-and-nightlife cluster near Porta Nuova; very attractive to young professionals, upscale venues, and frequent evening traffic."
GHISOLFA,102,4.8,4.9,6.6,4.9,"Northwest residential-industrial fringe with local commerce; less destination appeal, lower centrality, and generally quieter nights."
GIAMBELLINO,151,5.9,5.8,6.0,5.4,"Southwest neighborhood with mixed housing and local trattorie; improving connectivity and culture, but still mostly local and moderate in polish."
GUASTALLA,216,7.8,8.9,5.2,8.3,"Central area near courts and university axis; elegant urban fabric, strong services, and high-end amenities with moderate night movement."
ISOLA,357,9.1,8.1,4.8,8.4,"Trendy district with independent restaurants, creative spaces, and strong youth appeal; near center yet lively after dark."
LODI - CORVETTO,185,5.8,6.2,5.7,5.3,"Southern gateway area with mixed residential blocks and regeneration pockets; decent metro access, variable ambiance, and moderate noise."
LORETO,407,7.3,8.0,4.3,6.8,"Busy interchange and shopping node with high footfall; good central access and practical services, but heavy traffic lowers quietness."
MACIACHINI - MAGGIOLINA,156,6.2,6.6,6.5,6.0,"Mixed northern area combining business corridors and calmer villa streets; fair centrality and balanced day-night environment."
MAGENTA - S. VITTORE,222,8.0,8.6,6.4,9.0,"Prestigious historic-residential quarter with embassies, refined retail, and strong urban quality; central and comparatively quiet at night."
NAVIGLI,457,9.4,7.8,2.6,7.8,"Canal-side nightlife hotspot with bars and social venues; very cool and popular for young adults, but among the noisiest nighttime zones."
PADOVA,152,6.5,6.3,4.9,5.0,"Multicultural east-side corridor with active street life and food diversity; moderate connectivity and uneven nighttime quietness."
PAGANO,118,7.4,8.2,6.9,8.5,"Affluent residential area near CityLife/Cadorna axis; elegant services, quality boutiques, and generally calm evenings."
PORTA ROMANA,211,8.8,8.3,4.7,8.2,"High-demand district blending restaurants, wine bars, and upscale housing; close to center, youthful, and moderately noisy at night."
S. CRISTOFORO,129,5.4,4.7,7.4,5.1,"Peripheral canal-adjacent area with lower density and fewer nightlife destinations; less central but noticeably quieter after dark."
SARPI,496,8.5,7.7,4.5,7.6,"Vibrant pedestrianized Chinatown area with strong food scene and urban buzz; attractive to younger renters and active evenings."
SELINUNTE,122,4.6,4.6,6.1,4.6,"Primarily residential west-side zone with limited destination retail; lower centrality and mostly local nighttime activity."
STADERA,102,4.9,4.8,6.7,4.7,"Southern residential quarter with practical commerce and fewer premium amenities; quietness relatively high outside main roads."
TICINESE,396,9.0,8.5,3.4,7.9,"Historic gate-to-canals corridor with dense bars, culture, and student flows; very central-feeling and dynamic late-night environment."
TORTONA,179,8.7,7.1,5.0,8.1,"Design district known for fashion-week events, loft spaces, and curated dining; stylish and creative with moderate nighttime activity."
UMBRIA - MOLISE,127,6.1,7.1,5.8,6.6,"Transitional southeast-central area near Porta Vittoria; improving residential appeal, fair access, and mid-to-good retail quality."
VIALE MONZA,149,5.7,6.1,4.8,5.1,"Long northeast axis with dense apartment stock and multicultural commerce; useful transit but traffic reduces night quietness."
VIGENTINA,136,6.3,6.8,6.2,6.4,"South-central residential corridor close to Bocconi area; growing demand, decent centrality, and calmer side-street evenings."
VILLAPIZZONE,175,5.6,5.2,6.9,5.3,"Northwest residential zone around rail links and campus-adjacent areas; lower centrality and generally quiet nighttime profile."
WASHINGTON,179,7.2,7.6,6.0,7.7,"Solid upper-middle district with quality restaurants and shops; good access, polished streetscape, and moderate evening calm."
XXII MARZO,267,7.6,7.9,5.6,8.0,"Elegant east-central area near Porta Vittoria and premium residential stock; strong services and refined retail with moderate activity."
